period_id,year,quarter,period_label
1,2006,1,2006-Q1
2,2006,2,2006-Q2
3,2006,3,2006-Q3
4,2006,4,2006-Q4
5,2007,1,2007-Q1
6,2007,2,2007-Q2
7,2007,3,2007-Q3
8,2007,4,2007-Q4
9,2008,1,2008-Q1
10,2008,2,2008-Q2
11,2008,3,2008-Q3
12,2008,4,2008-Q4
13,2009,1,2009-Q1
14,2009,2,2009-Q2
15,2009,3,2009-Q3
16,2009,4,2009-Q4
17,2010,1,2010-Q1
18,2010,2,2010-Q2
19,2010,3,2010-Q3
20,2010,4,2010-Q4
21,2011,1,2011-Q1
22,2011,2,2011-Q2
23,2011,3,2011-Q3
24,2011,4,2011-Q4
25,2012,1,2012-Q1
26,2012,2,2012-Q2
27,2012,3,2012-Q3
28,2012,4,2012-Q4
29,2013,1,2013-Q1
30,2013,2,2013-Q2
31,2013,3,2013-Q3
32,2013,4,2013-Q4
33,2014,1,2014-Q1
34,2014,2,2014-Q2
35,2014,3,2014-Q3
36,2014,4,2014-Q4
37,2015,1,2015-Q1
38,2015,2,2015-Q2
39,2015,3,2015-Q3
40,2015,4,2015-Q4
41,2016,1,2016-Q1
42,2016,2,2016-Q2
43,2016,3,2016-Q3
44,2016,4,2016-Q4
45,2017,1,2017-Q1
46,2017,2,2017-Q2
47,2017,3,2017-Q3
48,2017,4,2017-Q4
49,2018,1,2018-Q1
50,2018,2,2018-Q2
51,2018,3,2018-Q3
52,2018,4,2018-Q4
53,2019,1,2019-Q1
54,2019,2,2019-Q2
55,2019,3,2019-Q3
56,2019,4,2019-Q4
57,2020,1,2020-Q1
58,2020,2,2020-Q2
59,2020,3,2020-Q3
60,2020,4,2020-Q4
61,2021,1,2021-Q1
62,2021,2,2021-Q2
63,2021,3,2021-Q3
64,2021,4,2021-Q4
65,2022,1,2022-Q1
66,2022,2,2022-Q2
67,2022,3,2022-Q3
68,2022,4,2022-Q4
